"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"20/04/2017";"72,27";"69,53";"72,34";"69,44";"2341444";
"21/04/2017";"71,57";"71,97";"72,36";"71,4";"2834463";
"24/04/2017";"73,96";"73,5";"74,2";"72,83";"3392539";
"25/04/2017";"74,1";"73,95";"74,1";"73,31";"2035966";
"26/04/2017";"74,09";"74";"74,59";"73,26";"2711216";
"27/04/2017";"75";"72,6";"75,78";"72,6";"2791834";
"28/04/2017";"74,23";"74,75";"74,87";"73,75";"2041707";
"02/05/2017";"74,65";"74,41";"75,02";"73,95";"1514930";
"03/05/2017";"73,92";"74,45";"74,49";"73,22";"1892839";
"04/05/2017";"75,03";"74,33";"75,03";"73,91";"3074091";
"05/05/2017";"75,88";"74,8";"75,88";"74,12";"2373314";
"08/05/2017";"75,41";"75,12";"75,81";"75,12";"1865781";
"09/05/2017";"75,5";"75,5";"76,07";"75,27";"1843290";
"10/05/2017";"75,24";"75,28";"75,75";"75,09";"1626911";
"11/05/2017";"74";"75,3";"75,33";"73,56";"2034389";
"12/05/2017";"74,46";"74,21";"74,72";"73,53";"1549001";
"15/05/2017";"74,27";"74,55";"74,77";"74,07";"1451526";
"16/05/2017";"74,19";"74,14";"74,45";"73,88";"1916654";
"17/05/2017";"72,73";"73,8";"74,16";"72,28";"2506050";
"18/05/2017";"73,22";"72,93";"73,52";"71,75";"2246008";
"19/05/2017";"73,76";"73,27";"74,13";"73,08";"1879911";
"22/05/2017";"72,63";"74,02";"74,19";"72,46";"1346452";
"23/05/2017";"72,41";"72,24";"73,36";"72,2";"1472739";
"24/05/2017";"72,42";"72,35";"72,9";"72,18";"1453146";
"25/05/2017";"73,1";"72,9";"73,29";"72,22";"1188382";
"26/05/2017";"73,9";"72,99";"73,9";"72,76";"1287651";
"29/05/2017";"73,72";"73,71";"73,92";"73,48";"496934";
"30/05/2017";"73,27";"73,3";"73,93";"73,04";"1022310";
"31/05/2017";"73,07";"73,37";"74,06";"73,07";"2291693";
"01/06/2017";"75,23";"73,22";"75,25";"73,19";"1903343";
"02/06/2017";"75,6";"75,6";"75,75";"75,01";"1548696";
"05/06/2017";"74,76";"75,43";"75,5";"74,55";"1393976";
"06/06/2017";"74,7";"74,3";"75,22";"74,16";"1778237";
"07/06/2017";"73,47";"74,47";"74,49";"73,47";"2075635";
"08/06/2017";"73,75";"73,26";"74,13";"72,26";"2064322";
"09/06/2017";"75,41";"73,98";"75,5";"73,8";"1696443";
"12/06/2017";"74,27";"75,05";"75,14";"73,92";"1453664";
"13/06/2017";"74,6";"74,33";"74,97";"74,07";"950069";
"14/06/2017";"75,13";"74,96";"75,85";"74,84";"1554647";
"15/06/2017";"73,28";"74,88";"74,94";"73,13";"2453122";
"16/06/2017";"74,93";"73,59";"74,93";"73,42";"2946719";
"19/06/2017";"76,4";"75,28";"76,98";"75,28";"1754422";
"20/06/2017";"75,95";"76,72";"77,25";"75,82";"1901702";
"21/06/2017";"75,25";"75,51";"75,76";"74,41";"1616636";
"22/06/2017";"75,04";"74,98";"75,23";"74,4";"1168764";
"23/06/2017";"75,7";"75,1";"75,83";"74,91";"1390598";
"26/06/2017";"75,95";"75,98";"76,45";"75,73";"1341540";
