"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"20/04/2017";"37,35";"36,69";"37,41";"36,535";"954684";
"21/04/2017";"37,305";"37,295";"37,545";"37,185";"1033942";
"24/04/2017";"39";"38,61";"39,38";"38,51";"2261304";
"25/04/2017";"39,175";"39";"39,435";"38,98";"1134303";
"26/04/2017";"38,87";"39,2";"39,28";"38,87";"895176";
"27/04/2017";"38,78";"38,8";"38,905";"38,63";"746508";
"28/04/2017";"38,595";"38,85";"38,91";"38,435";"1162040";
"02/05/2017";"39,06";"38,745";"39,06";"38,55";"936394";
"03/05/2017";"37,36";"37,62";"37,69";"37,335";"1203832";
"04/05/2017";"38,1";"37,515";"38,195";"37,43";"1691682";
"05/05/2017";"38,54";"38,2";"38,715";"38,12";"1777306";
"08/05/2017";"38,16";"38,7";"38,735";"37,945";"823821";
"09/05/2017";"38,46";"38,21";"38,645";"38,205";"990721";
"10/05/2017";"38,31";"38,325";"38,36";"37,935";"968126";
"11/05/2017";"38,125";"38,25";"38,605";"37,92";"868627";
"12/05/2017";"38,4";"38,165";"38,4";"37,935";"720230";
"15/05/2017";"38,73";"38,295";"38,745";"38,265";"911975";
"16/05/2017";"38,575";"38,75";"38,75";"38,305";"850023";
"17/05/2017";"38,285";"38,5";"39,01";"38,025";"1577561";
"18/05/2017";"37,545";"38,08";"38,385";"37,445";"1241976";
"19/05/2017";"37,64";"37,55";"37,965";"37,35";"1111062";
"22/05/2017";"37,655";"37,62";"37,875";"37,475";"735076";
"23/05/2017";"37,86";"37,58";"38,145";"37,495";"902810";
"24/05/2017";"37,86";"37,95";"38,07";"37,78";"476100";
"25/05/2017";"37,71";"37,92";"38,005";"37,62";"380942";
"26/05/2017";"37,81";"37,75";"37,81";"37,37";"414008";
"29/05/2017";"37,51";"37,67";"37,715";"37,485";"451567";
"30/05/2017";"37,31";"37,415";"37,75";"37,25";"825326";
"31/05/2017";"38,13";"37,42";"38,305";"37,3";"1412980";
"01/06/2017";"38,075";"38";"38,37";"37,93";"672474";
"02/06/2017";"38,38";"38,24";"38,59";"38,135";"763407";
"05/06/2017";"38,23";"38,13";"38,33";"38,08";"380071";
"06/06/2017";"38,195";"38,285";"38,745";"38,06";"953352";
"07/06/2017";"37,765";"38,105";"38,375";"37,765";"810075";
"08/06/2017";"38,075";"37,85";"38,075";"37,56";"713283";
"09/06/2017";"38,335";"38,13";"38,335";"37,875";"502592";
"12/06/2017";"38,07";"38,295";"38,295";"37,815";"758240";
"13/06/2017";"38,265";"38,15";"38,42";"38,015";"689976";
"14/06/2017";"38,345";"38,475";"38,625";"38,28";"961642";
"15/06/2017";"38,195";"38,31";"38,345";"37,79";"890286";
"16/06/2017";"38,85";"38,365";"38,95";"38,36";"2015361";
"19/06/2017";"39,5";"38,79";"39,565";"38,75";"1883380";
"20/06/2017";"39,475";"39,44";"39,7";"39,43";"693842";
"21/06/2017";"39,43";"39,455";"39,455";"38,945";"554553";
"22/06/2017";"38,895";"39,36";"39,38";"38,815";"682187";
"23/06/2017";"39,075";"39,025";"39,185";"38,725";"518065";
"26/06/2017";"39,21";"39,045";"39,47";"39";"546165";
"27/06/2017";"38,54";"39,015";"39,05";"38,52";"779543";
"28/06/2017";"38,425";"38,39";"38,56";"38,08";"777638";
"29/06/2017";"36,96";"38,545";"38,6";"36,91";"1828362";
"30/06/2017";"36,92";"37";"37,26";"36,825";"1175615";
"03/07/2017";"37,17";"37,155";"37,285";"36,97";"771851";
"04/07/2017";"36,72";"37,015";"37,095";"36,7";"642986";
"05/07/2017";"36,895";"36,7";"37,065";"36,695";"748288";
"06/07/2017";"36,615";"37,09";"37,09";"36,16";"1043103";
"07/07/2017";"36,69";"36,765";"36,765";"36,455";"612281";
"10/07/2017";"37,025";"36,9";"37,175";"36,745";"699436";
"11/07/2017";"36,65";"37,08";"37,24";"36,545";"536727";
"12/07/2017";"37,535";"36,76";"37,78";"36,76";"1010154";
"13/07/2017";"38,01";"37,53";"38,155";"37,395";"892409";
"14/07/2017";"37,945";"38,07";"38,18";"37,77";"565721";
"17/07/2017";"37,805";"37,91";"38,015";"37,68";"481677";
"18/07/2017";"37,295";"37,6";"37,605";"37,12";"1066111";
"19/07/2017";"37,84";"37,44";"37,845";"37,29";"549478";
"20/07/2017";"37,17";"37,965";"38,225";"37,11";"917576";
"21/07/2017";"36,6";"37,17";"37,39";"36,26";"1154314";
"24/07/2017";"36,405";"36,725";"36,845";"36,23";"603055";
"25/07/2017";"36,64";"36,37";"36,985";"36,37";"657090";
"26/07/2017";"36,75";"36,095";"36,91";"36,07";"857056";
"27/07/2017";"36,705";"36,715";"37,19";"36,51";"948049";
"28/07/2017";"36,345";"36,515";"36,515";"36,065";"956032";
"31/07/2017";"36,245";"36,3";"36,61";"36,16";"988187";
"01/08/2017";"36,855";"36,595";"36,995";"36,2";"788103";
"02/08/2017";"36,7";"36,97";"37,06";"36,535";"593423";
"03/08/2017";"37,14";"36,68";"37,165";"36,575";"781218";
"04/08/2017";"37,665";"37,095";"37,75";"37,095";"660753";
"07/08/2017";"37,69";"37,73";"37,87";"37,56";"336910";
"08/08/2017";"37,91";"37,705";"37,995";"37,53";"331281";
"09/08/2017";"37,5";"37,675";"37,745";"37,295";"557401";
"10/08/2017";"37,645";"37,46";"37,95";"37,345";"737824";
"11/08/2017";"36,905";"37,5";"37,5";"36,87";"653565";
"14/08/2017";"37,88";"37,135";"37,88";"36,985";"557698";
"15/08/2017";"37,935";"37,985";"38,145";"37,695";"401085";
"16/08/2017";"38,285";"37,935";"38,595";"37,815";"789421";
"17/08/2017";"37,95";"38,22";"38,37";"37,81";"557200";
"18/08/2017";"37,84";"37,665";"37,84";"37,33";"522693";
"21/08/2017";"37,44";"37,61";"37,775";"37,255";"666165";
"22/08/2017";"38,005";"37,6";"38,02";"37,515";"559932";
"23/08/2017";"37,73";"38";"38,24";"37,67";"449917";
"24/08/2017";"37,38";"37,85";"37,905";"37,34";"461255";
"25/08/2017";"37,5";"37,35";"37,685";"37,25";"358582";
"28/08/2017";"37,135";"37,31";"37,48";"37,13";"301279";
"29/08/2017";"36,66";"37";"37";"36,505";"768869";
"30/08/2017";"37,195";"36,83";"37,51";"36,705";"873428";
"31/08/2017";"38,095";"38";"38,52";"37,425";"1112734";
"01/09/2017";"38,82";"38,2";"39";"38,155";"1074642";
"04/09/2017";"38,51";"38,4";"38,545";"38,245";"585465";
"05/09/2017";"38,73";"39";"39,105";"38,73";"1145194";
"06/09/2017";"38,83";"38,52";"38,975";"38,315";"777408";
"07/09/2017";"38,69";"38,96";"39,06";"38,625";"662924";
"08/09/2017";"38,585";"38,475";"38,75";"38,42";"477793";
"11/09/2017";"38,845";"38,6";"39,07";"38,6";"531538";
"12/09/2017";"38,9";"38,795";"39,2";"38,795";"755637";
"13/09/2017";"38,8";"38,9";"39,005";"38,765";"584653";
"14/09/2017";"38,73";"38,835";"38,915";"38,615";"587255";
"15/09/2017";"38,395";"38,695";"38,975";"38,395";"1710189";
"18/09/2017";"38,7";"38,655";"38,805";"38,47";"562066";
"19/09/2017";"39,055";"38,74";"39,145";"38,695";"763923";
"20/09/2017";"38,97";"38,975";"39,185";"38,86";"718755";
"21/09/2017";"38,895";"39,115";"39,37";"38,72";"804423";
"22/09/2017";"39,05";"38,95";"39,145";"38,795";"1051272";
"25/09/2017";"39,33";"39,045";"39,62";"38,995";"975603";
"26/09/2017";"39,16";"39,325";"39,325";"39,065";"750854";
"27/09/2017";"40,285";"39,5";"40,295";"39,5";"2121537";
"28/09/2017";"40,195";"40,215";"40,69";"40,135";"1316114";
"29/09/2017";"40,15";"39,995";"40,235";"39,915";"793748";
"02/10/2017";"40,515";"39,945";"40,515";"39,79";"710756";
"03/10/2017";"40,475";"40,5";"40,66";"40,28";"445790";
"04/10/2017";"40,385";"40,42";"40,565";"40,19";"659111";
"05/10/2017";"40,11";"40,25";"40,38";"39,93";"696217";
"06/10/2017";"39,89";"40,035";"40,14";"39,795";"567079";
"09/10/2017";"39,97";"39,855";"40,095";"39,85";"454290";
"10/10/2017";"40";"39,95";"40,125";"39,825";"566298";
"11/10/2017";"39,855";"39,975";"40,115";"39,735";"480426";
"12/10/2017";"39,895";"39,8";"39,92";"39,685";"270362";
"13/10/2017";"40,23";"40,08";"40,325";"39,94";"691772";
"16/10/2017";"40,07";"40,165";"40,255";"39,95";"732780";
"17/10/2017";"40,355";"40,135";"40,475";"40,135";"767656";
"18/10/2017";"40,51";"40,36";"40,51";"40,14";"838262";
"19/10/2017";"40,27";"40,41";"40,41";"39,84";"685838";
"20/10/2017";"40,495";"40,5";"40,67";"40,285";"532687";
"23/10/2017";"40,275";"40,24";"40,485";"40,1";"537647";
"24/10/2017";"40,37";"40,13";"40,43";"40,13";"420391";
"25/10/2017";"40,195";"40,3";"40,65";"40,125";"507518";
"26/10/2017";"41,19";"40,18";"41,19";"40,11";"957886";
"27/10/2017";"40,9";"41,205";"41,345";"40,885";"851397";
"30/10/2017";"41,18";"40,885";"41,335";"40,71";"868344";
"31/10/2017";"41,215";"41,195";"41,435";"41,17";"637326";
"01/11/2017";"41,505";"41,35";"41,705";"41,35";"700812";
"02/11/2017";"41,515";"41,59";"41,785";"41,335";"766455";
"03/11/2017";"41,675";"41,495";"41,775";"41,4";"527208";
"06/11/2017";"41,665";"41,645";"41,71";"41,425";"486736";
"07/11/2017";"41,295";"41,65";"41,825";"41,225";"697500";
"08/11/2017";"41,695";"41,335";"41,695";"41,335";"890107";
"09/11/2017";"40,755";"41,505";"41,71";"40,715";"1114414";
"10/11/2017";"40,51";"40,71";"40,84";"40,49";"658670";
"13/11/2017";"40,05";"40,54";"40,595";"39,68";"919149";
"14/11/2017";"40,67";"40,8";"41,105";"40,29";"1385555";
"15/11/2017";"40,92";"40,645";"41,035";"40,55";"1303296";
"16/11/2017";"43,035";"41,495";"43,095";"41,35";"2771249";
"17/11/2017";"42,495";"42,77";"43,05";"42,41";"1834410";
"20/11/2017";"43,09";"41,82";"43,125";"41,8";"1258651";
"21/11/2017";"42,56";"43,11";"43,28";"42,505";"1484240";
"22/11/2017";"42,63";"42,65";"43,04";"42,59";"972894";
"23/11/2017";"43,195";"42,6";"43,34";"42,585";"907116";
"24/11/2017";"43,13";"43,2";"43,39";"43";"661097";
"27/11/2017";"42,945";"43,045";"43,64";"42,895";"922187";
"28/11/2017";"43,25";"43,12";"43,395";"42,95";"891404";
"29/11/2017";"43,195";"43,475";"43,68";"43,195";"977239";
"30/11/2017";"43,46";"43,185";"43,69";"43,15";"1664622";
"01/12/2017";"42,67";"43,775";"43,775";"42,28";"950813";
"04/12/2017";"43,435";"43";"43,705";"42,92";"882540";
"05/12/2017";"44,035";"43,505";"44,19";"43,465";"1174344";
"06/12/2017";"44,55";"43,7";"44,69";"43,555";"979126";
"07/12/2017";"44,5";"44,55";"44,845";"44,285";"953035";
"08/12/2017";"44,42";"44,71";"44,755";"44,33";"762384";
"11/12/2017";"44,335";"44,48";"44,625";"44,23";"827143";
"12/12/2017";"44,645";"44,315";"44,685";"44,065";"817258";
"13/12/2017";"44,41";"44,5";"44,56";"44,3";"641321";
"14/12/2017";"44,04";"44,34";"44,47";"44";"885181";
"15/12/2017";"43,495";"43,785";"43,97";"43,445";"2086774";
"18/12/2017";"43,845";"43,89";"44,23";"43,845";"922501";
"19/12/2017";"43,915";"43,96";"44,2";"43,765";"1019740";
"20/12/2017";"43,655";"43,84";"44,045";"43,58";"748254";
"21/12/2017";"43,97";"43,485";"44,025";"43,42";"653615";
"22/12/2017";"43,82";"43,8";"43,97";"43,58";"521916";
"27/12/2017";"43,705";"43,705";"43,945";"43,6";"479645";
"28/12/2017";"43,225";"43,585";"43,78";"43,225";"618421";
"29/12/2017";"43,31";"43,15";"43,485";"43,12";"545215";
"02/01/2018";"43,41";"43,5";"43,5";"42,77";"655381";
"03/01/2018";"43,21";"43,39";"43,39";"42,92";"824907";
"04/01/2018";"43,68";"43,48";"43,88";"43,39";"734956";
"05/01/2018";"44,15";"43,53";"44,15";"43,53";"769773";
"08/01/2018";"44,58";"44,25";"44,7";"44,21";"884112";
"09/01/2018";"44,82";"44,43";"44,98";"44,42";"553689";
"10/01/2018";"44,83";"44,66";"44,83";"44,26";"759629";
"11/01/2018";"44,64";"44,81";"44,84";"44,43";"817900";
"12/01/2018";"44,66";"44,68";"44,74";"44,32";"483644";
"15/01/2018";"45,2";"44,7";"45,38";"44,52";"921906";
"16/01/2018";"45,58";"45,2";"45,78";"45,13";"915489";
"17/01/2018";"45,63";"45,58";"45,74";"45,23";"714020";
"18/01/2018";"45,75";"45,88";"45,89";"45,41";"768659";
"19/01/2018";"45,61";"45,67";"45,71";"45,42";"597968";
"22/01/2018";"45,73";"45,69";"45,98";"45,47";"802011";
"23/01/2018";"45,52";"45,85";"45,97";"45,3";"544353";
"24/01/2018";"45,46";"45,37";"45,73";"45,3";"643330";
"25/01/2018";"45,26";"45,27";"45,55";"44,83";"677940";
"26/01/2018";"45,48";"45,25";"45,82";"45,18";"670587";
"29/01/2018";"45,32";"45,65";"45,69";"45,32";"575087";
"30/01/2018";"44,76";"45,01";"45,23";"44,76";"881100";
"31/01/2018";"44,77";"44,76";"45,04";"44,61";"938764";
"01/02/2018";"44,42";"44,87";"44,93";"44,3";"636708";
"02/02/2018";"43,61";"44,29";"44,38";"43,61";"869453";
"05/02/2018";"42,77";"43,38";"43,38";"42,71";"1231638";
"06/02/2018";"41,34";"41,49";"42,32";"41,1";"2192479";
"07/02/2018";"41,98";"41,69";"42,1";"41,34";"1278726";
"08/02/2018";"40,48";"41,8";"41,94";"40,46";"1431646";
"09/02/2018";"40,34";"40,21";"40,69";"39,86";"1589996";
"12/02/2018";"40,95";"40,99";"41,21";"40,62";"1122675";
"13/02/2018";"40,45";"40,85";"41,06";"40,45";"900535";
"14/02/2018";"40,73";"40,74";"41,05";"40,35";"748419";
"15/02/2018";"41,56";"41,08";"41,68";"40,85";"1030680";
"16/02/2018";"41,78";"41,73";"42,16";"41,56";"685560";
"19/02/2018";"41,81";"41,95";"42";"41,64";"477456";
"20/02/2018";"42,69";"41,84";"42,94";"41,75";"1043816";
"21/02/2018";"43,13";"42,64";"43,13";"42,43";"857930";
"22/02/2018";"43,22";"43,97";"44,36";"42,87";"1516615";
"23/02/2018";"42,84";"43,35";"43,35";"42,34";"868081";
"26/02/2018";"42,17";"42,93";"42,93";"41,88";"1136407";
"27/02/2018";"42,22";"42,2";"42,35";"41,99";"744812";
"28/02/2018";"41,66";"42,2";"42,37";"41,65";"956445";
"01/03/2018";"40,99";"41,53";"41,66";"40,93";"762258";
"02/03/2018";"40,2";"40,73";"40,76";"40,11";"971894";
"05/03/2018";"40,53";"40,2";"40,64";"40,17";"664787";
"06/03/2018";"40,58";"40,86";"41,08";"40,52";"545429";
"07/03/2018";"40,41";"40,49";"40,61";"40,02";"714389";
"08/03/2018";"40,7";"40,49";"40,79";"40,18";"712942";
"09/03/2018";"40,74";"40,66";"40,91";"40,48";"756118";
"12/03/2018";"40,76";"41,07";"41,09";"40,54";"455063";
"13/03/2018";"40,7";"40,99";"41,22";"40,51";"842833";
"14/03/2018";"40,72";"40,66";"41,13";"40,58";"585342";
"15/03/2018";"41,5";"41";"41,56";"40,9";"906087";
"16/03/2018";"41,7";"41,56";"41,91";"41,37";"1363533";
"19/03/2018";"41,36";"41,65";"41,67";"41,18";"539407";
"20/03/2018";"41,43";"41,42";"41,55";"41,18";"464094";
"21/03/2018";"40,95";"41,4";"41,4";"40,79";"539641";
"22/03/2018";"39,99";"40,74";"40,97";"39,75";"950475";
"23/03/2018";"39,76";"39,7";"39,88";"39,18";"954036";
"26/03/2018";"39,35";"39,85";"40,09";"39,26";"665081";
"27/03/2018";"40,25";"40";"40,57";"39,69";"1075670";
"28/03/2018";"40,34";"40";"40,44";"39,76";"875327";
"29/03/2018";"40,71";"40,58";"41,04";"40,51";"757945";
"03/04/2018";"40,77";"40,27";"40,92";"40,26";"800473";
"04/04/2018";"40,52";"40,88";"40,88";"40,15";"691573";
"05/04/2018";"41,71";"41,04";"41,83";"41,04";"733356";
"06/04/2018";"41,57";"41,68";"41,81";"41,43";"447515";
"09/04/2018";"41,73";"41,6";"41,92";"41,55";"348000";
"10/04/2018";"42,1";"41,97";"42,15";"41,75";"529237";
"11/04/2018";"41,6";"42,05";"42,05";"41,56";"544395";
"12/04/2018";"41,84";"41,64";"41,9";"41,58";"427443";
"13/04/2018";"42,32";"42";"42,49";"41,96";"690829";
"16/04/2018";"42,21";"42,23";"42,32";"41,9";"683626";
"17/04/2018";"42,36";"42,33";"42,64";"41,98";"815797";
"18/04/2018";"42,59";"42,39";"42,66";"42,26";"452980";
"19/04/2018";"42,86";"42,47";"43";"42,42";"794905";
"20/04/2018";"42,82";"42,8";"43";"42,63";"743105";
"23/04/2018";"42,9";"42,82";"43,08";"42,56";"531416";
"24/04/2018";"42,54";"42,84";"43,12";"42,36";"1214378";
"25/04/2018";"41,73";"42,3";"42,58";"41,62";"923474";
"26/04/2018";"42,18";"41,79";"42,89";"41,65";"1050764";
"27/04/2018";"42,17";"42,22";"42,42";"42,1";"635484";
"30/04/2018";"42,25";"42,16";"42,51";"42,14";"840051";
"02/05/2018";"41,33";"41,08";"41,46";"41,04";"1162615";
"03/05/2018";"41,5";"41,39";"41,72";"41,3";"656812";
"04/05/2018";"42,24";"41,72";"42,28";"41,63";"955748";
"07/05/2018";"42,82";"42,19";"42,82";"42,07";"885768";
"08/05/2018";"42,79";"42,67";"42,84";"42,62";"1018443";
"09/05/2018";"43,08";"42,75";"43,13";"42,52";"823438";
"10/05/2018";"42,87";"43";"43,17";"42,71";"434524";
"11/05/2018";"43,02";"42,91";"43,07";"42,88";"412913";
"14/05/2018";"42,53";"42,96";"42,96";"42,45";"584300";
