"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"20/04/2017";"30,29";"29,73";"32,1";"29,3";"403510";
"21/04/2017";"29,39";"30,49";"30,65";"29,29";"234005";
"24/04/2017";"28,87";"29";"30,49";"28,7";"408487";
"25/04/2017";"29,49";"28,86";"29,85";"28,81";"226447";
"26/04/2017";"30,34";"30,2";"31,14";"29,64";"403536";
"27/04/2017";"32,2";"30,49";"32,38";"30,32";"542243";
"28/04/2017";"31,75";"32,3";"32,9";"31,75";"337380";
"02/05/2017";"31,55";"31,75";"31,95";"31,16";"212944";
"03/05/2017";"31,1";"31,75";"31,75";"31,1";"179853";
"04/05/2017";"31,25";"31";"31,9";"31";"169166";
"05/05/2017";"31,8";"31,59";"31,87";"31,25";"155049";
"08/05/2017";"32,34";"32,1";"32,65";"31,82";"252087";
"09/05/2017";"32,14";"32,55";"32,7";"31,92";"132695";
"10/05/2017";"32,4";"32";"32,43";"31,7";"159928";
"11/05/2017";"32,37";"32,5";"32,98";"32,01";"200021";
"12/05/2017";"31,07";"32,05";"32,3";"30,21";"217380";
"15/05/2017";"31,34";"31";"32,12";"30,75";"148752";
"16/05/2017";"31,25";"31,21";"31,55";"31,04";"73488";
"17/05/2017";"30,99";"31,1";"31,55";"30,81";"88852";
"18/05/2017";"30,83";"30,9";"31,09";"30,02";"149022";
"19/05/2017";"31,16";"30,86";"31,28";"30,86";"65563";
"22/05/2017";"30,9";"31,3";"31,38";"30,89";"60324";
"23/05/2017";"30,85";"30,92";"31,19";"30,63";"87431";
"24/05/2017";"30,76";"30,9";"30,97";"30,65";"44478";
"25/05/2017";"30,45";"30,93";"31,07";"30,29";"92198";
"26/05/2017";"30,03";"30,33";"30,64";"30,01";"93111";
"29/05/2017";"30,86";"30,01";"31,28";"29,8";"123584";
"30/05/2017";"30,31";"30,85";"30,89";"30,3";"73334";
"31/05/2017";"29,98";"30,26";"30,5";"29,84";"118102";
"01/06/2017";"30,99";"31,21";"31,94";"30,72";"348694";
"02/06/2017";"30,94";"31,13";"31,72";"30,85";"240332";
"05/06/2017";"31,06";"31,2";"31,34";"30,88";"101676";
"06/06/2017";"30,39";"30,85";"31,04";"30,22";"103713";
"07/06/2017";"29,99";"30,26";"30,56";"29,85";"121851";
