"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"20/04/2017";"65,5";"65,46";"65,75";"65,14";"22299477";
"21/04/2017";"66,4";"65,67";"66,7";"65,45";"32522645";
"24/04/2017";"67,53";"67,48";"67,66";"67,1";"29769976";
"25/04/2017";"67,92";"67,9";"68,04";"67,6";"30242730";
"26/04/2017";"67,83";"68,08";"68,31";"67,62";"26190770";
"27/04/2017";"68,27";"68,15";"68,38";"67,58";"34970953";
"28/04/2017";"68,46";"68,91";"69,14";"67,69";"39548818";
"01/05/2017";"69,41";"68,68";"69,55";"68,5";"31954362";
"02/05/2017";"69,3";"69,71";"69,71";"69,13";"23906119";
"03/05/2017";"69,08";"69,38";"69,38";"68,71";"28927973";
"04/05/2017";"68,81";"69,03";"69,08";"68,64";"21749409";
"05/05/2017";"69";"68,9";"69,03";"68,485";"19128782";
"08/05/2017";"68,94";"68,97";"69,05";"68,42";"18566087";
"09/05/2017";"69,04";"68,86";"69,28";"68,68";"22858414";
"10/05/2017";"69,31";"68,99";"69,56";"68,92";"17977830";
"11/05/2017";"68,46";"68,36";"68,73";"68,12";"28789413";
"12/05/2017";"68,38";"68,61";"68,61";"68,04";"18714123";
"15/05/2017";"68,43";"68,14";"68,48";"67,57";"31530301";
"16/05/2017";"69,41";"68,23";"69,44";"68,16";"34956038";
"17/05/2017";"67,48";"68,89";"69,1";"67,43";"30548781";
"18/05/2017";"67,71";"67,4";"68,13";"67,14";"25201274";
"19/05/2017";"67,69";"67,5";"68,095";"67,43";"26961119";
"22/05/2017";"68,45";"67,89";"68,5";"67,5";"16237550";
"23/05/2017";"68,68";"68,72";"68,75";"68,38";"15425824";
"24/05/2017";"68,77";"68,87";"68,88";"68,45";"14666865";
"25/05/2017";"69,62";"68,97";"69,88";"68,91";"21854095";
"26/05/2017";"69,96";"69,8";"70,22";"69,52";"19827923";
"30/05/2017";"70,41";"69,79";"70,41";"69,77";"17072838";
"31/05/2017";"69,84";"70,53";"70,74";"69,81";"30436364";
"01/06/2017";"70,1";"70,24";"70,61";"69,451";"21603601";
"02/06/2017";"71,76";"70,44";"71,86";"70,24";"34770261";
"05/06/2017";"72,28";"71,97";"72,89";"71,81";"33316760";
"06/06/2017";"72,52";"72,3";"72,62";"72,27";"31511065";
"07/06/2017";"72,39";"72,635";"72,77";"71,95";"22301765";
"08/06/2017";"71,95";"72,51";"72,52";"71,5";"24588270";
"09/06/2017";"70,32";"72,035";"72,08";"68,59";"49187396";
"12/06/2017";"69,78";"69,25";"69,94";"68,13";"47761743";
"13/06/2017";"70,65";"70,02";"70,82";"69,96";"25258614";
"14/06/2017";"70,27";"70,91";"71,1";"69,43";"25510685";
"15/06/2017";"69,9";"69,27";"70,21";"68,8";"26068709";
"16/06/2017";"70";"69,73";"70,0252";"69,22";"48345085";
"19/06/2017";"70,87";"70,5";"70,945";"70,35";"23798268";
"20/06/2017";"69,91";"70,82";"70,87";"69,87";"21512231";
"21/06/2017";"70,27";"70,21";"70,62";"69,94";"19891051";
"22/06/2017";"70,26";"70,54";"70,59";"69,71";"22965738";
"23/06/2017";"71,21";"70,09";"71,25";"69,92";"27617291";
"26/06/2017";"70,53";"71,4";"71,71";"70,445";"19606974";
"27/06/2017";"69,21";"70,11";"70,18";"69,18";"25215128";
"28/06/2017";"69,8";"69,21";"69,841";"68,79";"25806200";
"29/06/2017";"68,49";"69,38";"69,49";"68,09";"28918715";
"30/06/2017";"68,93";"68,78";"69,38";"68,74";"24161068";
"03/07/2017";"68,17";"69,33";"69,6";"68,02";"16165538";
"05/07/2017";"69,08";"68,255";"69,44";"68,22";"21176272";
