"Date";"Fermeture";"Ouverture";"Valeur Haute";"Valeur Basse";"Volume";
"20/04/2017";"83,32";"82,47";"83,72";"82,33";"2746704";
"21/04/2017";"82,36";"82,92";"83,09";"82,29";"4652135";
"24/04/2017";"84,84";"85";"85,94";"84,23";"4752506";
"25/04/2017";"85,09";"84,72";"85,7";"84,58";"2332296";
"26/04/2017";"85,65";"84,75";"85,82";"84,48";"2400161";
"27/04/2017";"85,97";"85,83";"86,15";"85,01";"2029464";
"28/04/2017";"86,61";"87";"88";"86,17";"3454507";
"02/05/2017";"87,58";"87,32";"87,8";"87,11";"2266594";
"03/05/2017";"87,55";"87,58";"87,74";"87,11";"1959590";
"04/05/2017";"89,4";"87,74";"89,4";"87,68";"3090730";
"05/05/2017";"89,69";"89,3";"90,21";"89,14";"2855991";
"08/05/2017";"89,38";"90,35";"90,38";"89,38";"3206044";
"09/05/2017";"89,98";"89,53";"90,27";"89,51";"2457043";
"10/05/2017";"90,69";"90,18";"90,93";"90,1";"2385341";
"11/05/2017";"91,4";"90,47";"91,4";"90,32";"2956177";
"12/05/2017";"92,75";"91,87";"92,78";"91,45";"2386493";
"15/05/2017";"92,97";"92,57";"92,97";"91,95";"2607733";
"16/05/2017";"90,75";"89,75";"90,92";"89,66";"2967930";
"17/05/2017";"89,57";"89,85";"90,73";"89,23";"2752760";
"18/05/2017";"88,35";"88,85";"89,43";"88,18";"3044940";
"19/05/2017";"88,38";"88,49";"88,71";"87,94";"4380182";
"22/05/2017";"87,75";"88,01";"88,31";"87,36";"2180590";
"23/05/2017";"87,82";"87,31";"88,35";"87,29";"2058161";
"24/05/2017";"87,6";"87,54";"87,96";"87,48";"1939028";
"25/05/2017";"87,31";"87,8";"87,99";"87,11";"1653151";
"26/05/2017";"87,74";"87,43";"88,13";"87,04";"2239910";
"29/05/2017";"87,62";"87,44";"87,65";"87,31";"850488";
"30/05/2017";"87,56";"87,05";"87,9";"86,82";"1886565";
"31/05/2017";"88,17";"87,97";"88,88";"87,69";"3581086";
"01/06/2017";"87,88";"87,5";"88,68";"87,41";"1955471";
"02/06/2017";"88,87";"88,31";"89,19";"88,21";"2057016";
"05/06/2017";"88,69";"88,42";"89,13";"88,42";"1341906";
"06/06/2017";"87,83";"88,07";"88,77";"87,83";"2108232";
"07/06/2017";"86,08";"87,29";"87,88";"86,08";"3248914";
"08/06/2017";"85,98";"85,63";"86,67";"84,01";"2393064";
"09/06/2017";"86,14";"85,93";"86,78";"85,36";"2037755";
"12/06/2017";"84,85";"86,12";"86,41";"84,67";"2418318";
"13/06/2017";"85,34";"85";"85,62";"84,84";"1929468";
"14/06/2017";"84,86";"85,34";"86,1";"84,86";"2139529";
"15/06/2017";"85,48";"84,73";"85,66";"83,93";"3402960";
"16/06/2017";"85,06";"86,03";"86,55";"84,79";"9020472";
"19/06/2017";"86,7";"85,55";"87,24";"85,3";"2303616";
"20/06/2017";"86,82";"87,12";"87,75";"86,82";"1883933";
"21/06/2017";"86,56";"86,69";"86,8";"85,78";"2182716";
"22/06/2017";"88,65";"87";"88,97";"86,69";"2863602";
"23/06/2017";"87,87";"88,34";"88,88";"87,87";"2401275";
"26/06/2017";"88,7";"88,17";"89,06";"87,95";"1857317";
"27/06/2017";"87,63";"88,68";"88,73";"87,33";"2012519";
"28/06/2017";"86,7";"87,14";"87,32";"86,16";"2489086";
"29/06/2017";"84,54";"86,8";"86,81";"84,31";"2940094";
"30/06/2017";"83,76";"84,36";"85,37";"83,75";"3326999";
"03/07/2017";"84,2";"83,48";"84,61";"83,35";"1784125";
"04/07/2017";"83,86";"83,81";"84,37";"83,65";"1275305";
"05/07/2017";"84,22";"83,65";"84,66";"83,17";"2249604";
"06/07/2017";"82,97";"84,32";"84,43";"82,5";"3216161";
"07/07/2017";"83,66";"82,84";"83,83";"82,83";"1895465";
"10/07/2017";"83,9";"83,89";"84,41";"83,72";"1359697";
"11/07/2017";"83,36";"83,68";"84,26";"83,33";"1421183";
"12/07/2017";"85,96";"83,63";"86,29";"83,55";"2672450";
"13/07/2017";"85,22";"85,96";"86,47";"85,22";"2243470";
"14/07/2017";"84,58";"85,18";"85,27";"84,3";"1760085";
"17/07/2017";"83,8";"84,4";"84,56";"83,63";"1465345";
"18/07/2017";"82,59";"83,83";"84,41";"82,59";"1895914";
"19/07/2017";"82,24";"82,54";"82,77";"82,17";"2181072";
"20/07/2017";"82,77";"82";"83,32";"81,77";"2530317";
"21/07/2017";"81,52";"82,75";"83,3";"81,28";"2988091";
"24/07/2017";"81,91";"81,72";"82,29";"81,32";"1944540";
"25/07/2017";"82,67";"82,1";"83,75";"82,1";"2398290";
"26/07/2017";"82,33";"82,68";"83,29";"82,16";"2078436";
"27/07/2017";"82,21";"81,85";"82,43";"81,59";"2582102";
"28/07/2017";"81,59";"81,69";"81,73";"80,53";"2739458";
"31/07/2017";"80,72";"82,75";"83,4";"80,72";"3024192";
"01/08/2017";"79,69";"81,63";"81,63";"79,67";"2605495";
"02/08/2017";"80,02";"79,25";"80,67";"79,2";"2264689";
"03/08/2017";"80,42";"80,17";"80,77";"79,76";"1957226";
"04/08/2017";"81,61";"80,42";"82,11";"80,02";"2428660";
"07/08/2017";"81,68";"81,65";"81,97";"81,24";"1635351";
"08/08/2017";"82,18";"81,68";"82,49";"81,29";"2050551";
"09/08/2017";"80,84";"81,37";"81,39";"80,48";"2608644";
"10/08/2017";"80,8";"80,3";"81,25";"80,3";"2059143";
"11/08/2017";"80,6";"80,47";"80,99";"79,97";"2300135";
"14/08/2017";"81,17";"80,7";"81,37";"80,55";"1518705";
"15/08/2017";"81,77";"81,33";"81,82";"81,33";"1138330";
"16/08/2017";"82,58";"82";"82,92";"82";"1485160";
"17/08/2017";"82,76";"82,42";"83,26";"82,3";"2028464";
"18/08/2017";"82,26";"82,01";"82,56";"81,44";"2335356";
"21/08/2017";"81,9";"81,82";"82,47";"81,53";"1577039";
"22/08/2017";"82,24";"82,05";"82,55";"81,96";"1576160";
"23/08/2017";"81,8";"82,14";"82,65";"81,63";"1642238";
"24/08/2017";"82,24";"81,83";"82,57";"81,83";"1634319";
"25/08/2017";"82,1";"82,4";"82,78";"82,03";"1039692";
"28/08/2017";"81,83";"81,4";"82,38";"81,2";"868614";
"29/08/2017";"81,42";"81,24";"81,97";"80,55";"2230522";
"30/08/2017";"80,75";"81,75";"82,07";"80,73";"2005982";
"31/08/2017";"81,66";"81,19";"81,78";"80,97";"4514592";
"01/09/2017";"82,71";"81,99";"83,35";"81,99";"2045031";
"04/09/2017";"82,05";"82,16";"82,4";"82";"934647";
"05/09/2017";"81,94";"82,02";"82,58";"81,65";"1359820";
"06/09/2017";"82,38";"81,65";"82,69";"81,34";"1511896";
"07/09/2017";"81,93";"82,7";"83,34";"81,57";"2608518";
"08/09/2017";"82,21";"82,07";"82,43";"81,6";"1674653";
"11/09/2017";"81,4";"83";"83,14";"80,68";"3495491";
"12/09/2017";"82,04";"81,63";"82,35";"81,46";"2069672";
"13/09/2017";"81,7";"81,89";"82,04";"81,52";"2222318";
"14/09/2017";"82,06";"81,49";"82,19";"81,26";"1887425";
"15/09/2017";"81,37";"82,17";"82,67";"81,31";"5934268";
"18/09/2017";"81,52";"81,57";"81,7";"81,2";"1279404";
"19/09/2017";"82,25";"81,59";"82,56";"81,25";"1711618";
"20/09/2017";"82,3";"82,29";"82,83";"82,05";"1661344";
"21/09/2017";"83,87";"82,47";"84,4";"82,43";"2621664";
"22/09/2017";"84,12";"84,04";"85";"84,01";"2284835";
"25/09/2017";"84,64";"84,13";"84,75";"83,98";"1396626";
"26/09/2017";"84,56";"84,36";"84,56";"84,06";"1541262";
"27/09/2017";"84,54";"84,46";"84,75";"84,02";"1683142";
"28/09/2017";"84,02";"84,43";"84,6";"83,76";"1913241";
"29/09/2017";"84,01";"84,11";"84,27";"83,45";"2866497";
"02/10/2017";"85,12";"84,05";"85,13";"84,05";"1931498";
"03/10/2017";"84,64";"85,1";"85,2";"84,31";"1225415";
"04/10/2017";"85";"84,74";"85,28";"84,6";"1953099";
"05/10/2017";"85,68";"84,84";"86,17";"84,4";"2224915";
"06/10/2017";"86,26";"85,81";"86,26";"85,73";"1735066";
"09/10/2017";"86,05";"86,16";"86,39";"85,49";"1182391";
"10/10/2017";"84,73";"85,71";"85,84";"84,53";"1954761";
"11/10/2017";"84,42";"84,52";"84,72";"84,1";"1799417";
"12/10/2017";"84,2";"83,51";"84,33";"83,38";"1539722";
"13/10/2017";"83,6";"83,95";"84,33";"83,6";"1225463";
"16/10/2017";"84,54";"83,9";"84,69";"83,77";"1109215";
"17/10/2017";"83,89";"84,18";"84,28";"83,7";"1309351";
"18/10/2017";"84,51";"84,05";"84,63";"84,05";"1262190";
"19/10/2017";"84,26";"84,28";"84,81";"84,06";"1645724";
"20/10/2017";"83,81";"84,32";"84,55";"83,81";"2205530";
"23/10/2017";"84,39";"84,08";"84,82";"84,08";"1236329";
"24/10/2017";"83,61";"84,17";"84,58";"82,99";"1873639";
"25/10/2017";"81,42";"82,95";"83,55";"81,22";"2454386";
"26/10/2017";"82";"81,22";"82,11";"80,58";"2488435";
"27/10/2017";"82,28";"82,19";"83,37";"82,03";"2122279";
"30/10/2017";"81,62";"82,01";"82,12";"81,44";"1570868";
"31/10/2017";"81,29";"81,81";"82,03";"81,13";"1866675";
"01/11/2017";"80,53";"81,79";"81,99";"80,43";"2902429";
"02/11/2017";"79,54";"78,11";"79,89";"77,5";"3024935";
"03/11/2017";"79,02";"79,63";"79,67";"78,88";"1863864";
"06/11/2017";"79,6";"78,86";"79,94";"78,66";"1785774";
"07/11/2017";"78,67";"79,87";"79,87";"78,54";"1708247";
"08/11/2017";"78,86";"78,86";"79,4";"78,85";"2015054";
"09/11/2017";"77,79";"78,97";"79,38";"77,79";"2123361";
"10/11/2017";"77,43";"77,78";"78,13";"77,01";"2438476";
"13/11/2017";"76,43";"77,31";"77,78";"76,11";"2156138";
"14/11/2017";"75,61";"76,63";"76,92";"75,55";"2396971";
"15/11/2017";"75,58";"75,54";"76,04";"75,27";"2450467";
"16/11/2017";"75,97";"76";"76,02";"75,39";"1872870";
"17/11/2017";"75,43";"76,06";"76,2";"75,27";"2164750";
"20/11/2017";"75,75";"75,57";"75,94";"75,4";"1756678";
"21/11/2017";"76,44";"75,69";"76,77";"75,26";"2150342";
"22/11/2017";"76,71";"76,18";"77,6";"76,06";"2116185";
"23/11/2017";"77,54";"76,57";"77,85";"76,36";"1947533";
"24/11/2017";"77,45";"77,41";"77,79";"76,9";"1428746";
"27/11/2017";"76,91";"77,08";"77,79";"76,91";"2126090";
"28/11/2017";"77,35";"76,65";"77,84";"76,65";"1983663";
"29/11/2017";"76,98";"77,46";"77,85";"76,98";"2003152";
"30/11/2017";"76,6";"76,86";"77,67";"76,39";"4111408";
"01/12/2017";"74,82";"75,88";"76,47";"74,69";"3236517";
"04/12/2017";"75,1";"74,63";"75,11";"74,34";"2731453";
"05/12/2017";"73,97";"74,53";"74,86";"73,56";"2609409";
"06/12/2017";"73,25";"73,1";"73,67";"72,63";"2479254";
"07/12/2017";"73,21";"72,98";"73,8";"72,87";"2248106";
"08/12/2017";"73,18";"73,5";"74,1";"72,92";"2324309";
"11/12/2017";"73,58";"73,07";"73,99";"73,07";"1958420";
"12/12/2017";"75,03";"73,3";"75,03";"73,3";"2708681";
"13/12/2017";"74,66";"75,05";"75,31";"74,07";"3327280";
"14/12/2017";"73,77";"74,15";"74,82";"73,77";"2008093";
"15/12/2017";"73,55";"73,44";"73,78";"72,79";"4378223";
"18/12/2017";"74,2";"74,07";"74,79";"74,01";"2290081";
"19/12/2017";"73,2";"74,07";"74,43";"73,14";"2040571";
